date,team,location
22-Dec-17,Worcester Warriors,1
22-Dec-17,London Irish,0
22-Dec-17,Newcastle Falcons,1
22-Dec-17,Harlequins,0
22-Dec-17,Northampton Saints,1
22-Dec-17,Exeter Chiefs,0
22-Dec-17,Sale Sharks,1
22-Dec-17,Bath Rugby,0
22-Dec-17,Wasps,1
22-Dec-17,Gloucester Rugby,0
22-Dec-17,Leicester Tigers,1
22-Dec-17,Saracens,0
29-Dec-17,Bath Rugby,1
29-Dec-17,Wasps,0
29-Dec-17,Gloucester Rugby,1
29-Dec-17,Sale Sharks,0
29-Dec-17,London Irish,1
29-Dec-17,Newcastle Falcons,0
29-Dec-17,Saracens,1
29-Dec-17,Worcester Warriors,0
29-Dec-17,Harlequins,1
29-Dec-17,Northampton Saints,0
29-Dec-17,Exeter Chiefs,1
29-Dec-17,Leicester Tigers,0
06-Jan-18,Worcester Warriors,1
06-Jan-18,Bath Rugby,0
06-Jan-18,Leicester Tigers,1
06-Jan-18,London Irish,0
06-Jan-18,Northampton Saints,1
06-Jan-18,Gloucester Rugby,0
06-Jan-18,Sale Sharks,1
06-Jan-18,Harlequins,0
06-Jan-18,Newcastle Falcons,1
06-Jan-18,Exeter Chiefs,0
06-Jan-18,Wasps,1
06-Jan-18,Saracens,0
09-Feb-18,Bath Rugby,1
09-Feb-18,Northampton Saints,0
09-Feb-18,Exeter Chiefs,1
09-Feb-18,Worcester Warriors,0
09-Feb-18,Gloucester Rugby,1
09-Feb-18,Leicester Tigers,0
09-Feb-18,Saracens,1
09-Feb-18,Newcastle Falcons,0
09-Feb-18,London Irish,1
09-Feb-18,Sale Sharks,0
09-Feb-18,Harlequins,1
09-Feb-18,Wasps,0
16-Feb-18,Newcastle Falcons,1
16-Feb-18,Bath Rugby,0
16-Feb-18,Sale Sharks,1
16-Feb-18,Saracens,0
16-Feb-18,Leicester Tigers,1
16-Feb-18,Harlequins,0
16-Feb-18,Northampton Saints,1
16-Feb-18,London Irish,0
16-Feb-18,Worcester Warriors,1
16-Feb-18,Gloucester Rugby,0
16-Feb-18,Wasps,1
16-Feb-18,Exeter Chiefs,0
24-Feb-18,Exeter Chiefs,1
24-Feb-18,Northampton Saints,0
24-Feb-18,Bath Rugby,1
24-Feb-18,Sale Sharks,0
24-Feb-18,Gloucester Rugby,1
24-Feb-18,Wasps,0
24-Feb-18,Harlequins,1
24-Feb-18,Newcastle Falcons,0
24-Feb-18,London Irish,1
24-Feb-18,Worcester Warriors,0
24-Feb-18,Saracens,1
24-Feb-18,Leicester Tigers,0
03-Mar-18,Harlequins,1
03-Mar-18,Bath Rugby,0
03-Mar-18,Exeter Chiefs,1
03-Mar-18,Saracens,0
03-Mar-18,Gloucester Rugby,1
03-Mar-18,Newcastle Falcons,0
03-Mar-18,Northampton Saints,1
03-Mar-18,Sale Sharks,0
03-Mar-18,Wasps,1
03-Mar-18,London Irish,0
03-Mar-18,Worcester Warriors,1
03-Mar-18,Leicester Tigers,0
